,start,end,duration_mins,cluster,implicated_vars,z_scores
179,2018-03-14 05:30:00,2018-03-14 05:40:00,10.0,2,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp","Cyclone_Gas_Outlet_Temp: 4.81, Cyclone_Inlet_Gas_Temp: 4.50"
180,2018-03-21 03:45:00,2018-03-21 04:05:00,20.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 9.33, Cyclone_Outlet_Gas_draft: 8.49"
181,2018-04-08 12:00:00,2018-04-08 12:35:00,35.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 5.50, Cyclone_Outlet_Gas_draft: 4.23"
182,2018-04-28 14:40:00,2018-04-28 15:00:00,20.0,2,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp","Cyclone_Gas_Outlet_Temp: 8.91, Cyclone_Inlet_Gas_Temp: 4.16"
183,2018-05-06 16:40:00,2018-05-06 17:20:00,40.0,2,"Cyclone_Material_Temp, Cyclone_Gas_Outlet_Temp","Cyclone_Material_Temp: 8.00, Cyclone_Gas_Outlet_Temp: 5.46"
184,2018-05-07 19:45:00,2018-05-07 21:15:00,90.0,2,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Draft","Cyclone_Gas_Outlet_Temp: 10.22, Cyclone_Inlet_Draft: 3.37"
185,2018-05-08 11:15:00,2018-05-08 11:55:00,40.0,2,"Cyclone_Gas_Outlet_Temp, Cyclone_cone_draft","Cyclone_Gas_Outlet_Temp: 13.87, Cyclone_cone_draft: 3.98"
186,2018-05-09 09:35:00,2018-05-09 09:55:00,20.0,2,"Cyclone_Gas_Outlet_Temp, Cyclone_cone_draft","Cyclone_Gas_Outlet_Temp: 5.06, Cyclone_cone_draft: 4.43"
187,2018-05-10 11:55:00,2018-05-10 12:20:00,25.0,2,"Cyclone_Gas_Outlet_Temp, Cyclone_Outlet_Gas_draft","Cyclone_Gas_Outlet_Temp: 6.67, Cyclone_Outlet_Gas_draft: 3.19"
188,2018-05-16 17:10:00,2018-05-16 17:35:00,25.0,2,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp","Cyclone_Gas_Outlet_Temp: 13.87, Cyclone_Inlet_Gas_Temp: 6.31"
189,2018-05-16 18:00:00,2018-05-16 18:40:00,40.0,2,"Cyclone_Gas_Outlet_Temp, Cyclone_Outlet_Gas_draft","Cyclone_Gas_Outlet_Temp: 13.15, Cyclone_Outlet_Gas_draft: 2.70"
190,2018-05-16 21:50:00,2018-05-16 22:35:00,45.0,2,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Draft","Cyclone_Gas_Outlet_Temp: 13.22, Cyclone_Inlet_Draft: 2.89"
191,2018-05-23 23:10:00,2018-05-23 23:55:00,45.0,2,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Draft","Cyclone_Gas_Outlet_Temp: 12.85, Cyclone_Inlet_Draft: 1.99"
192,2018-05-25 05:55:00,2018-05-25 06:05:00,10.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 5.72, Cyclone_Outlet_Gas_draft: 4.51"
